1	1.38743	126.663	9.03201	121524
2	1.41382	119.134	-11.8725	124416
3	1.37898	130.98	-18.9538	120390
4	1.34769	143.27	-19.5905	116757
5	1.33317	150.832	-19.8182	114999
6	1.32626	155.655	-20.729	114108
7	1.3202	159.632	-21.5799	113335
8	1.31425	163.22	-22.259	112590
9	1.30845	166.529	-22.7801	111872
10	1.30308	169.597	-23.2217	111206
11	1.29777	172.474	-23.5318	110556
12	1.293	175.134	-23.8754	109967
13	1.28824	177.74	-24.1911	109382
14	1.28339	180.288	-24.4124	108790
15	1.27886	182.739	-24.6561	108234
16	1.27416	185.18	-24.8183	107663
17	1.26959	187.542	-24.9544	107107
18	1.26512	189.871	-25.1137	106562
19	1.26052	192.245	-25.2323	106003
20	1.25572	194.611	-25.2371	105426
21	1.25123	196.892	-25.2766	104883
22	1.24656	199.208	-25.2886	104322
23	1.24182	201.548	-25.2763	103751
24	1.23694	203.917	-25.2154	103169
25	1.23201	206.305	-25.1067	102579
26	1.22697	208.701	-24.9423	101981
27	1.22193	211.103	-24.762	101382
28	1.21671	213.551	-24.5344	100764
29	1.21137	216.043	-24.2652	100135
30	1.20583	218.575	-23.9215	99484.8
31	1.20024	221.131	-23.5484	98829.8
32	1.19443	223.755	-23.1232	98150.4
33	1.18837	226.457	-22.649	97446.3
34	1.18205	229.276	-22.1154	96711.4
35	1.17531	232.218	-21.4453	95933.6
36	1.16837	235.197	-20.6494	95135.1
37	1.1613	238.24	-19.8254	94324.1
38	1.15376	241.531	-18.9119	93457.4
39	1.14527	244.97	-17.6156	92496.6
40	1.13732	248.316	-16.3317	91592
41	1.1287	251.966	-14.9033	90612.9
42	1.119	255.793	-12.9925	89525.4
43	1.10988	259.454	-10.9844	88502.4
44	1.10043	263.303	-8.82835	87441.1
45	1.08993	267.397	-6.18022	86273.3
46	1.07954	271.289	-3.12523	85126.4
47	1.06999	274.957	-0.0156686	84069.8
48	1.05971	278.789	3.42017	82938.9
49	1.04904	282.802	7.26809	81764.3
50	1.03779	286.558	11.9214	80547.6
51	1.02909	289.582	16.4593	79599.6
52	1.02023	292.511	21.3639	78639.3
53	1.01141	295.265	26.6726	77688.5
54	1.00311	297.684	32.3634	76796.4
55	0.995586	299.665	38.4143	75991.3
56	0.988942	301.148	44.8313	75282.2
57	0.983186	302.077	51.5861	74671.7
58	0.978331	302.649	58.6568	74150.1
59	0.973523	302.958	66.7221	73628.5
60	0.970091	301.491	75.9452	73289.8
61	0.975131	297.568	83.733	73824.2
62	0.980858	293.115	91.3987	74435.5
63	0.986143	290.181	100.092	74911
64	0.981452	283.941	114.049	74540.5
65	1.00391	272.84	120.46	76928.4
66	1.02462	264.994	128.441	78980.2
67	1.02058	251.058	144.697	78846.9
68	1.0682	236.008	147.01	83765.2
69	1.07682	217.552	160.193	84940.4
70	1.1202	196.682	163.447	89662.2
71	1.15217	173.747	168.219	93319.7
72	1.19275	148.746	168.817	97951.9
73	1.22931	121.038	164.955	102367
74	1.28915	100.264	155.307	109050
75	1.29449	68.2088	146.512	110485
76	1.37095	55.9332	125.121	119035
77	1.371	34.2307	112.933	119624
78	1.40112	19.8172	91.5593	123347
79	1.42737	15.6688	73.6117	126445
